File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\models\Constants.java,162,112,93,0,23,1,27,137,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\models\Platform.java,32,9,8,0,4,0,19,114,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\models\PolarH7Constants.java,20,8,7,0,8,0,4,11,0,0
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\models\SensorTagConstants.java,44,25,24,0,10,0,9,28,0,0
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\models\Walk.java,215,139,92,12,39,12,37,295,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\models\WalkDbConstants.java,75,41,18,0,9,0,25,139,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\services\AccelerometerManager.java,135,77,57,5,25,3,33,219,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\services\BtSensorManager.java,324,228,160,35,43,1,53,322,0,0
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\services\GpsTracker.java,147,86,58,7,29,7,32,225,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\services\LogWriter.java,413,268,207,27,79,6,66,394,15,99
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\utilities\PolarH7Utils.java,28,17,14,2,6,0,5,18,0,0
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\utilities\SensorTagUtils.java,24,14,12,2,7,1,3,14,0,0
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\utilities\Utils.java,199,114,87,22,33,3,52,250,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\buildConfig\androidTest\debug\com\lee42\wheeledwalksviewer\test\BuildConfig.java,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\buildConfig\debug\com\lee42\wheeledwalksviewer\BuildConfig.java,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\android\support\design\R.java,1661,1653,1689,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\android\support\v7\appcompat\R.java,1351,1343,1361,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\android\support\v7\cardview\R.java,57,49,44,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\android\support\v7\mediarouter\R.java,1164,1156,1170,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\android\support\v7\recyclerview\R.java,33,25,21,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\ads\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\all\R.java,11,3,2,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\analytics\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\appindexing\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\appinvite\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\appstate\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\auth\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\base\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\cast\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\drive\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\fitness\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\games\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\gcm\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\identity\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\location\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\maps\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\measurement\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\nearby\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\panorama\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\plus\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\safetynet\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\vision\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\wallet\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\wearable\R.java,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\lee42\wheeledwalksviewer\R.java,11084,2363,2205,0,4,0,8717,41888,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\androidTest\java\com\lee42\wheeledwalksviewer\ApplicationTest.java,13,8,6,0,2,0,3,6,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\activities\ViewerMainActivity.java,136,91,72,5,33,0,12,56,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\activities\fragments\CustomMapFragment.java,414,192,136,21,46,3,176,701,15,99
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\activities\fragments\NewWalksFragment.java,64,45,33,1,16,0,3,8,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\activities\fragments\PreviewWalkDialogFragment.java,251,123,92,10,27,3,101,344,15,99
