Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\activities\fragments,11,2513,1657,1211,155,427,36,429,2695,135,891
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\controllers,7,1218,750,533,61,241,18,227,1319,60,396
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\models,8,775,476,333,26,147,14,152,887,75,495
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\services,4,1019,659,482,74,176,17,184,1160,45,297
C:\Android_Dev\WheeledWalks\app\src\main\java\davidlee_11055579\wheeledwalks\utilities,3,251,145,113,26,46,4,60,282,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer,50,25648,15687,15103,93,430,33,9531,45735,297,1703
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build,33,23477,14506,14284,0,68,0,8903,42866,192,1010
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated,33,23477,14506,14284,0,68,0,8903,42866,192,1010
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source,33,23477,14506,14284,0,68,0,8903,42866,192,1010
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\buildConfig,2,28,18,16,0,4,0,6,18,6,18
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\buildConfig\androidTest,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\buildConfig\androidTest\debug,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\buildConfig\androidTest\debug\com,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\buildConfig\androidTest\debug\com\lee42,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\buildConfig\androidTest\debug\com\lee42\wheeledwalksviewer,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\buildConfig\androidTest\debug\com\lee42\wheeledwalksviewer\test,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\buildConfig\debug,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\buildConfig\debug\com,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\buildConfig\debug\com\lee42,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\buildConfig\debug\com\lee42\wheeledwalksviewer,1,14,9,8,0,2,0,3,9,3,9
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r,31,23449,14488,14268,0,64,0,8897,42848,186,992
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug,31,23449,14488,14268,0,64,0,8897,42848,186,992
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\android,5,4266,4226,4285,0,10,0,30,160,30,160
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\android\support,5,4266,4226,4285,0,10,0,30,160,30,160
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\android\support\design,1,1661,1653,1689,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\android\support\v7,4,2605,2573,2596,0,8,0,24,128,24,128
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\android\support\v7\appcompat,1,1351,1343,1361,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\android\support\v7\cardview,1,57,49,44,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\android\support\v7\mediarouter,1,1164,1156,1170,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\android\support\v7\recyclerview,1,33,25,21,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com,26,19183,10262,9983,0,54,0,8867,42688,156,832
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google,25,8099,7899,7778,0,50,0,150,800,150,800
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android,25,8099,7899,7778,0,50,0,150,800,150,800
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms,25,8099,7899,7778,0,50,0,150,800,150,800
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\ads,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\all,1,11,3,2,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\analytics,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\appindexing,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\appinvite,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\appstate,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\auth,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\base,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\cast,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\drive,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\fitness,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\games,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\gcm,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\identity,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\location,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\maps,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\measurement,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\nearby,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\panorama,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\plus,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\safetynet,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\vision,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\wallet,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\google\android\gms\wearable,1,337,329,324,0,2,0,6,32,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\lee42,1,11084,2363,2205,0,4,0,8717,41888,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\build\generated\source\r\debug\com\lee42\wheeledwalksviewer,1,11084,2363,2205,0,4,0,8717,41888,6,32
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src,17,2171,1181,819,93,362,33,628,2869,105,693
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\androidTest,1,13,8,6,0,2,0,3,6,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\androidTest\java,1,13,8,6,0,2,0,3,6,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\androidTest\java\com,1,13,8,6,0,2,0,3,6,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\androidTest\java\com\lee42,1,13,8,6,0,2,0,3,6,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\androidTest\java\com\lee42\wheeledwalksviewer,1,13,8,6,0,2,0,3,6,0,0
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main,15,2143,1164,807,93,357,33,622,2846,105,693
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java,15,2143,1164,807,93,357,33,622,2846,105,693
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com,15,2143,1164,807,93,357,33,622,2846,105,693
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42,15,2143,1164,807,93,357,33,622,2846,105,693
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer,15,2143,1164,807,93,357,33,622,2846,105,693
C:\Android_Dev\WheeledWalks\wheeledwalksviewer\src\main\java\com\lee42\wheeledwalksviewer\activities,6,979,513,373,39,152,6,314,1189,30,198
